strategy,agents,rewards
transformer_global,5,"[[83.24263000488281, 87.9100341796875, 82.1184310913086, 80.29893493652344, 87.3121109008789, 89.43720245361328, 89.76985168457031, 88.26052856445312, 89.61642456054688, 83.14228820800781], [88.94554901123047, 88.1004638671875, 91.07925415039062, 83.14248657226562, 85.05408477783203, 85.09833526611328, 90.08519744873047, 94.07352447509766, 93.3456802368164, 83.16114044189453], [94.4537582397461, 89.25131225585938, 94.36592864990234, 97.61751556396484, 96.91732025146484, 84.052001953125, 88.93534088134766, 88.01029968261719, 94.05778503417969, 83.47860717773438], [72.2359619140625, 82.4071044921875, 74.17671966552734, 62.94925308227539, 69.48704528808594, 63.7890739440918, 69.46446990966797, 83.16321563720703, 75.37263488769531, 75.79266357421875], [71.2871322631836, 78.69868469238281, 85.1177749633789, 84.10970306396484, 75.20758819580078, 75.43392944335938, 75.25580596923828, 72.43576049804688, 81.25140380859375, 71.31327819824219], [90.0626220703125, 94.47953796386719, 87.32717895507812, 86.36458587646484, 84.44755554199219, 81.94612884521484, 91.91255187988281, 84.62417602539062, 95.58687591552734, 76.86422729492188], [81.9823989868164, 86.51020050048828, 89.03693389892578, 85.40129089355469, 82.37228393554688, 75.3251724243164, 79.44253540039062, 74.50495147705078, 70.73318481445312, 88.42876434326172], [82.44619750976562, 75.16867065429688, 74.66824340820312, 74.31809997558594, 71.31607055664062, 82.43003845214844, 77.99740600585938, 82.36711883544922, 81.6773452758789, 81.75098419189453], [100.42500305175781, 87.57910919189453, 76.79033660888672, 96.4974136352539, 86.85407257080078, 87.89106750488281, 80.54998779296875, 89.23895263671875, 81.7553482055664, 87.6122817993164], [101.07110595703125, 78.86531066894531, 75.92413330078125, 74.07023620605469, 94.65707397460938, 77.46025085449219, 87.55542755126953, 78.81035614013672, 85.61946105957031, 90.9621810913086]]"
transformer_global,10,"[[107.53880310058594, 103.30194091796875, 107.40528869628906, 97.75497436523438, 94.20185089111328, 87.13162231445312, 104.21381378173828, 98.1489486694336, 90.912841796875, 96.69853210449219], [100.8384780883789, 104.90123748779297, 102.0639877319336, 103.59076690673828, 103.2840805053711, 86.81170654296875, 99.93299102783203, 99.29792785644531, 103.36541748046875, 104.6115951538086], [93.42401123046875, 95.7361831665039, 101.80599975585938, 81.64006042480469, 84.72229766845703, 95.90287780761719, 103.3827896118164, 86.95773315429688, 102.34319305419922, 102.81964874267578], [91.43978118896484, 91.36266326904297, 87.96427917480469, 85.4818115234375, 80.11851501464844, 81.87489318847656, 92.28756713867188, 83.14264678955078, 90.51943969726562, 91.83519744873047], [95.04483795166016, 92.1930160522461, 91.6750717163086, 86.0871810913086, 82.10997772216797, 109.7861328125, 105.51278686523438, 84.07406616210938, 104.61715698242188, 93.40172576904297], [91.98815155029297, 106.46513366699219, 104.12458038330078, 117.28961181640625, 99.99162292480469, 100.7047119140625, 94.83309936523438, 104.81340789794922, 103.2954330444336, 103.93518829345703], [96.9285888671875, 93.43199157714844, 105.56764221191406, 102.0194091796875, 105.60287475585938, 107.2071762084961, 94.59675598144531, 91.72261810302734, 105.00830078125, 100.92606353759766], [118.97734069824219, 103.63670349121094, 100.99526977539062, 103.73072052001953, 98.75688934326172, 98.53829193115234, 105.31954956054688, 104.67095947265625, 97.1469497680664, 87.45935821533203], [113.15048217773438, 106.25112915039062, 102.87191772460938, 103.48336791992188, 105.08894348144531, 106.99832916259766, 107.79407501220703, 108.96366119384766, 97.03971099853516, 110.03489685058594], [99.57386779785156, 84.76283264160156, 91.64051055908203, 96.85518646240234, 95.31571960449219, 103.26586151123047, 113.42021179199219, 99.23041534423828, 106.32252502441406, 95.19175720214844]]"
transformer_global,20,"[[65.78106689453125, 60.37929153442383, 64.1855697631836, 45.61412811279297, 51.90864562988281, 91.9852066040039, 76.59229278564453, 36.687530517578125, 66.13572692871094, 56.88225173950195], [57.652530670166016, 60.64362716674805, 53.42302322387695, 35.648468017578125, 52.8132438659668, 41.48779296875, 52.62841796875, 44.36006546020508, 36.273231506347656, 78.8709487915039], [59.864044189453125, 47.958717346191406, 65.61323547363281, 69.30607604980469, 64.2104721069336, 57.01704788208008, 66.65309143066406, 65.17761993408203, 73.9365234375, 51.482852935791016], [37.094112396240234, 68.18736267089844, 52.59529113769531, 67.40201568603516, 47.34245300292969, 45.722713470458984, 54.74196243286133, 63.705448150634766, 50.43517303466797, 59.34819030761719], [59.41195297241211, 55.80399703979492, 27.91913414001465, 82.19560241699219, 72.60520935058594, 66.11264038085938, 60.09029769897461, 45.49811553955078, 49.49812698364258, 45.74150848388672], [55.41768264770508, 86.38302612304688, 69.48478698730469, 82.32352447509766, 93.30793762207031, 81.3712158203125, 66.42821502685547, 88.76832580566406, 68.39826965332031, 70.3439712524414], [80.66719818115234, 46.40730285644531, 34.0239143371582, 44.208709716796875, 45.57014083862305, 51.36656951904297, 32.532928466796875, 34.346920013427734, 47.82652282714844, 47.17025375366211], [55.9769401550293, 65.42407989501953, 63.79063034057617, 46.135406494140625, 75.54899597167969, 69.84801483154297, 69.55963134765625, 60.455501556396484, 55.3551025390625, 98.46541595458984], [70.86852264404297, 66.48045349121094, 66.88031005859375, 68.07959747314453, 88.6985092163086, 42.06825637817383, 75.98985290527344, 61.140220642089844, 86.11376190185547, 66.50637817382812], [40.208587646484375, 60.168182373046875, 59.106834411621094, 40.01774215698242, 58.09044647216797, 23.826295852661133, 45.21082305908203, 33.833274841308594, 41.64728546142578, 47.438377380371094]]"
