strategy,agents,rewards
transformer_global,5,"[[4.975470542907715, 4.888110160827637, 5.187564373016357, 4.871418476104736, 5.014543533325195, 5.171370029449463, 4.990772247314453, 4.9467058181762695, 5.101418972015381, 5.234147071838379], [4.88685941696167, 4.977321624755859, 5.003505706787109, 4.954118728637695, 4.834234237670898, 5.011519908905029, 4.894441604614258, 5.095937728881836, 5.216097354888916, 4.965970516204834], [5.137059688568115, 5.020456314086914, 4.951899528503418, 4.78009033203125, 4.975551128387451, 4.960089206695557, 4.838717937469482, 4.7037434577941895, 5.062376022338867, 5.046435356140137], [5.031683444976807, 5.133025169372559, 4.974515438079834, 5.0544819831848145, 4.803460597991943, 5.128555774688721, 4.9508771896362305, 4.922722816467285, 5.044676303863525, 4.9607834815979], [5.301827907562256, 5.189584255218506, 5.175390720367432, 5.002854824066162, 5.020903587341309, 5.09581184387207, 5.107767105102539, 4.925776958465576, 4.823550224304199, 5.056431770324707], [4.9106011390686035, 5.228262901306152, 5.072346210479736, 5.104285717010498, 5.175175189971924, 5.211899757385254, 5.058584690093994, 5.118664264678955, 5.191766738891602, 5.005117893218994], [4.874783992767334, 4.940126419067383, 5.017510890960693, 5.089915752410889, 4.817977428436279, 5.006439685821533, 5.079493045806885, 5.008369445800781, 5.24705696105957, 4.877939701080322], [4.959012985229492, 5.130724906921387, 4.938039302825928, 4.869115829467773, 5.284031391143799, 4.674286842346191, 4.881560802459717, 5.159176349639893, 5.2202582359313965, 5.052934646606445], [5.042781352996826, 5.06529426574707, 4.920713424682617, 5.172548770904541, 4.751177787780762, 4.7954559326171875, 5.0827765464782715, 5.241466045379639, 4.938098430633545, 4.906973361968994], [5.259700298309326, 5.241127014160156, 5.079862117767334, 5.163502216339111, 5.213730335235596, 5.069328784942627, 5.074223041534424, 5.185721397399902, 4.904971122741699, 5.107687950134277]]"
transformer_global,6,"[[5.9886956214904785, 6.271905899047852, 6.058777332305908, 5.782242298126221, 6.052490234375, 6.205546855926514, 5.995124816894531, 6.059985160827637, 6.245654106140137, 6.035175323486328], [6.273107051849365, 6.081771373748779, 6.320569038391113, 6.063138008117676, 6.250976085662842, 6.288290023803711, 5.8603620529174805, 6.07302713394165, 6.034902572631836, 5.968066692352295], [6.091007709503174, 6.078737258911133, 6.230417728424072, 6.311147212982178, 5.771158695220947, 6.0702738761901855, 6.006511211395264, 6.054130554199219, 6.039833068847656, 6.162300109863281], [6.3565673828125, 6.041569709777832, 6.129140853881836, 5.985880374908447, 5.981326580047607, 5.943199157714844, 5.971837043762207, 6.040468215942383, 6.22711181640625, 5.829809665679932], [6.0734992027282715, 6.183635711669922, 5.979465007781982, 5.9905619621276855, 6.186827182769775, 5.999790668487549, 6.250205993652344, 5.992885112762451, 6.122197151184082, 6.136557579040527], [6.179202556610107, 5.722013473510742, 6.143371105194092, 5.928391456604004, 6.10484504699707, 6.222709655761719, 6.117282390594482, 5.815979957580566, 6.163505554199219, 5.917422294616699], [6.076125621795654, 5.978481292724609, 6.156018257141113, 6.145327568054199, 5.795856475830078, 6.148193359375, 5.973482131958008, 6.126118183135986, 6.185626029968262, 6.070153713226318], [6.084303855895996, 5.863752365112305, 5.745980739593506, 6.096231460571289, 5.990689277648926, 6.212508201599121, 6.115521430969238, 5.96208381652832, 5.970614910125732, 5.797592639923096], [6.09863805770874, 5.976408958435059, 5.962658882141113, 6.05786657333374, 6.061169147491455, 5.928286552429199, 6.171093940734863, 6.092535495758057, 6.345049858093262, 5.941064357757568], [6.233895301818848, 6.040757179260254, 6.0228376388549805, 6.045370101928711, 6.243615627288818, 6.118875503540039, 6.056500434875488, 6.32439661026001, 6.2204389572143555, 6.094089984893799]]"
transformer_global,10,"[[9.745800971984863, 9.666572570800781, 10.106083869934082, 9.852446556091309, 10.350576400756836, 9.876181602478027, 9.958717346191406, 10.041916847229004, 10.128024101257324, 9.936477661132812], [9.81646728515625, 10.134931564331055, 9.550375938415527, 9.983613967895508, 9.931604385375977, 9.743002891540527, 10.13823127746582, 9.69363784790039, 9.970422744750977, 9.7906494140625], [10.077127456665039, 10.00771713256836, 10.02037239074707, 9.957205772399902, 9.9734525680542, 9.981476783752441, 9.792120933532715, 9.899560928344727, 10.172436714172363, 9.925470352172852], [10.060079574584961, 10.27284049987793, 10.187838554382324, 9.89737606048584, 9.8048095703125, 10.154623985290527, 9.99158763885498, 10.030001640319824, 9.946219444274902, 9.558296203613281], [9.819086074829102, 9.687392234802246, 9.551837921142578, 10.007088661193848, 10.075507164001465, 10.109723091125488, 10.010841369628906, 9.919597625732422, 9.581650733947754, 9.795982360839844], [9.620753288269043, 9.835432052612305, 10.241896629333496, 10.44606876373291, 9.98363971710205, 9.898964881896973, 9.983906745910645, 9.770001411437988, 10.091328620910645, 9.895987510681152], [10.028413772583008, 9.602723121643066, 9.920862197875977, 10.065693855285645, 9.695059776306152, 9.893616676330566, 10.059844970703125, 10.051488876342773, 9.825016021728516, 9.970962524414062], [9.75181770324707, 10.166118621826172, 10.032474517822266, 9.646857261657715, 10.070316314697266, 10.072948455810547, 9.731142044067383, 9.956134796142578, 9.57940673828125, 9.710370063781738], [10.03337287902832, 10.215594291687012, 10.16169548034668, 10.291601181030273, 9.753334999084473, 9.824075698852539, 9.840779304504395, 9.93111515045166, 9.803879737854004, 9.807403564453125], [10.378424644470215, 9.910213470458984, 9.665770530700684, 9.828696250915527, 10.112008094787598, 10.030479431152344, 9.784127235412598, 10.062827110290527, 9.983716011047363, 9.577325820922852]]"
transformer_global,15,"[[14.26270580291748, 14.031245231628418, 14.124041557312012, 14.609249114990234, 14.29514217376709, 14.310105323791504, 13.82272720336914, 14.010994911193848, 14.14369010925293, 13.936022758483887], [14.295110702514648, 13.88475513458252, 14.38357162475586, 14.029783248901367, 14.007166862487793, 14.032365798950195, 14.016679763793945, 13.860838890075684, 14.491581916809082, 14.392512321472168], [13.81425952911377, 14.251351356506348, 14.18344497680664, 14.184236526489258, 13.721553802490234, 14.691035270690918, 14.078632354736328, 14.040363311767578, 14.351296424865723, 14.106558799743652], [13.920439720153809, 13.987690925598145, 14.658402442932129, 14.010926246643066, 14.265130996704102, 14.1469144821167, 14.115760803222656, 13.87958812713623, 14.323396682739258, 14.052884101867676], [14.264472007751465, 14.38115406036377, 13.979446411132812, 14.46973991394043, 14.217229843139648, 14.130281448364258, 13.758686065673828, 14.181764602661133, 13.8888521194458, 14.015815734863281], [14.359521865844727, 13.99276351928711, 14.069845199584961, 14.347525596618652, 14.185834884643555, 13.979609489440918, 14.075637817382812, 13.820849418640137, 13.786253929138184, 14.035421371459961], [14.205265045166016, 14.211281776428223, 14.124700546264648, 14.29670238494873, 13.959141731262207, 13.760733604431152, 14.119972229003906, 14.202764511108398, 13.972294807434082, 14.40019702911377], [14.178266525268555, 13.928741455078125, 14.534440994262695, 13.875984191894531, 14.147611618041992, 14.016457557678223, 14.365035057067871, 13.914579391479492, 14.118427276611328, 14.199786186218262], [14.088920593261719, 13.814421653747559, 13.599239349365234, 14.06480884552002, 14.421180725097656, 14.04250717163086, 14.286425590515137, 14.104446411132812, 13.853883743286133, 14.769205093383789], [14.343461990356445, 14.029783248901367, 14.672508239746094, 14.326055526733398, 14.370959281921387, 14.160623550415039, 13.896100044250488, 14.072699546813965, 13.993843078613281, 14.092951774597168]]"
transformer_global,20,"[[17.672819137573242, 17.70222282409668, 17.898351669311523, 17.559968948364258, 17.221553802490234, 17.758056640625, 17.358871459960938, 17.38933563232422, 17.37439727783203, 17.41091537475586], [17.2720890045166, 17.74283218383789, 17.99834632873535, 17.854660034179688, 17.684919357299805, 17.600004196166992, 17.64532470703125, 17.18804168701172, 17.764310836791992, 17.59075164794922], [17.55682373046875, 17.423622131347656, 17.797025680541992, 17.169069290161133, 17.3037052154541, 17.79463768005371, 17.80021858215332, 17.60331916809082, 17.26814079284668, 17.307117462158203], [17.66346549987793, 18.07525062561035, 17.29085922241211, 17.676753997802734, 17.485729217529297, 18.09879493713379, 17.068565368652344, 18.034704208374023, 17.274730682373047, 17.620445251464844], [17.870933532714844, 17.63628387451172, 17.28754425048828, 17.86846351623535, 17.588951110839844, 17.799182891845703, 17.473636627197266, 18.046184539794922, 18.23316764831543, 17.836814880371094], [17.651121139526367, 17.888519287109375, 17.896921157836914, 17.770662307739258, 17.9435977935791, 17.46251678466797, 17.206584930419922, 17.442445755004883, 17.39326286315918, 17.350587844848633], [17.75193214416504, 17.709318161010742, 17.857093811035156, 17.638492584228516, 17.8074893951416, 17.350839614868164, 17.972177505493164, 17.58480453491211, 17.892398834228516, 17.724485397338867], [17.111330032348633, 17.770729064941406, 17.36233901977539, 17.1986026763916, 17.860523223876953, 17.520116806030273, 17.8797664642334, 17.582149505615234, 17.823057174682617, 17.576091766357422], [17.286970138549805, 17.67771339416504, 17.345054626464844, 17.584699630737305, 17.194316864013672, 17.98015022277832, 17.228635787963867, 17.642284393310547, 17.961030960083008, 17.644058227539062], [17.3854923248291, 17.665935516357422, 17.36297035217285, 17.531545639038086, 17.446468353271484, 17.581222534179688, 17.799715042114258, 17.022178649902344, 17.944040298461914, 17.58232879638672]]"
