strategy,agents,rewards
concat,5,"[[-7.904666900634766, -8.783148765563965], [-5.326436996459961, -6.306826591491699], [-6.985533237457275, -8.213770866394043], [-4.808294773101807, -7.1378278732299805], [-7.173996448516846, -6.083983421325684], [-5.183592319488525, -5.287605285644531], [-3.393240213394165, -4.979676723480225], [-7.048504829406738, -4.302855014801025], [-7.298184871673584, -6.9344563484191895], [-5.83811092376709, -6.0702948570251465]]"
concat,6,"[[-4.7990946769714355, -3.0481698513031006], [-1.7989623546600342, -4.800854682922363], [-2.906545639038086, -4.132506847381592], [-4.231619358062744, -4.761012554168701], [-1.946134090423584, -6.041399002075195], [-3.5566608905792236, -4.367823600769043], [-1.3393523693084717, -4.701859951019287], [-4.937314510345459, -4.847894191741943], [-4.950793743133545, -3.9677727222442627], [-3.6542985439300537, -1.9539225101470947]]"
concat,10,"[[5.258542060852051, 5.9398345947265625], [2.938215732574463, 3.8105835914611816], [7.212628364562988, 8.163043975830078], [6.857190132141113, 4.604805946350098], [7.7539520263671875, 4.023455619812012], [8.820780754089355, 6.143457889556885], [6.099800109863281, 4.129711151123047], [7.466559410095215, 4.6230974197387695], [8.195029258728027, 9.158315658569336], [2.879807710647583, 2.971877098083496]]"
