name,config,kpi
n_agents = 5,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0004951941907106333, 'inference_memory_usage': 0.0, 'loss': [3.142115936676661, 3.6816232442855834, 3.420442897081375, 3.2646632293860116, 2.8111234029134113, 2.636297873655955, 2.381577950716019, 2.2817529996236163, 1.8563773940006891, 1.6483720670143762, 1.4049412151177725, 1.2782721529404322, 0.992331383128961, 0.9855289210875829, 0.32176042795181276, 0.7923786570628484, 0.5885161300500233, 0.6401654064655304, 0.6702205826838811, 0.9373877853155136, 0.8662799462676049, 1.0088064605991045, 1.1790468300382295, 0.9827928389112155, 0.925912894308567, 0.7548501913746198, 0.7759899819890658, 0.9513073787093163, 0.7927598570783932, 0.594225354741017, 0.3903303628166517, 0.7476033200820287, 0.7401240825653076, 0.2876915067434311, 0.6810123803714911, 0.5372408534089724, 0.617829277118047, 0.254535885155201, 0.6676822399099668, 0.5860749329129855, 0.28133694678544996, 0.22498579621315, 0.4608187327782313, 0.4923527422050635, 0.21023726512988408, 0.2731551299492518, 0.17965630094210308, 0.001544706771771113, -0.004696667691071828, 0.03973598778247833, 0.16752450714508693, -0.1479964092373848, -0.2787613665064176, -0.21660816371440889, -0.07200986295938491, -0.44004592994848885, -0.20213234772284824, -0.08990449359019598, -0.3210966174801191, -0.1374528740843137, -0.15510481595993042, -0.28483939518531165, -0.20843328932921093, -0.2137182518839836, -0.2232797717054685, -0.20257201840480168, -0.20679381489753723, -0.10585152407487233, -0.2127571572860082, -0.28468227485815684, -0.44483174284299215, -0.4148198554913203, -0.34757941365242007, -0.30035336514314015, -0.5065958430369695, -0.24082326292991638, -0.2846730425953865, -0.13795304000377656, -0.5088558991750082, -0.3655222564935684], 'mean_rewards': [-8.156330108642578, -10.902863502502441, -10.579898834228516, -9.565985679626465, -6.055057525634766, -4.749241828918457, -0.3149988055229187, 0.35897761583328247, 7.312254428863525, 12.392821311950684, 25.583419799804688, 28.661224365234375, 33.069252014160156, 41.47028350830078, 54.85882568359375, 57.90309524536133, 59.868064880371094, 64.6060791015625, 60.71088409423828, 71.3992919921875, 68.50493621826172, 73.74913024902344, 73.6673812866211, 69.40689086914062, 83.49552917480469, 85.86470031738281, 86.8035888671875, 87.56818389892578, 81.21853637695312, 86.58145904541016, 97.73530578613281, 88.28175354003906, 96.474365234375, 96.52407836914062, 98.24317169189453, 94.08424377441406, 91.7713623046875, 91.84908294677734, 94.09716796875, 91.79605865478516, 95.61654663085938, 101.04666137695312, 96.7697525024414, 92.85493469238281, 102.79457092285156, 98.5998306274414, 95.60520935058594, 100.43096160888672, 100.75762939453125, 103.64006042480469, 95.36540222167969, 101.72859191894531, 100.90470886230469, 105.2191390991211, 96.79306030273438, 96.58976745605469, 109.4036865234375, 94.32178497314453, 100.11253356933594, 98.89561462402344, 96.3944091796875, 104.7746810913086, 113.80989837646484, 97.38117218017578, 102.6044692993164, 91.88700866699219, 102.19573211669922, 96.10102844238281, 101.97271728515625, 104.51011657714844, 109.96605682373047, 103.65237426757812, 100.40778350830078, 101.66734313964844, 104.3988037109375, 97.5016098022461, 97.62228393554688, 94.32389831542969, 112.1468505859375, 105.08464050292969], 'training_memory_usage': 0.0, 'training_time': 159.20760202407837, 'flops': 102.14, 'parameters': 48.26}"
n_agents = 10,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 10, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0005599278301449877, 'inference_memory_usage': 0.0, 'loss': [3.1873189210891724, 3.1896099984645843, 2.83955629269282, 2.9891410569349923, 2.7157957434654234, 2.360112673044205, 2.2384777625401813, 2.03981592853864, 1.8085445582866668, 1.5447145998477936, 1.4049511929353078, 0.9822047566374142, 1.2352847735087076, 1.4201494534810384, 1.0967789322137833, 1.1843521768848102, 0.8811456546187401, 0.6416639904181163, 0.9807720616459846, 1.0082828889290492, 1.0477704361081124, 1.151419112086296, 0.9354863002896309, 1.3290114050110182, 1.7701972345511119, 1.6194617927074433, 1.5983782927195231, 1.4134626199801763, 1.5351927449305853, 1.7935738970836004, 1.640811914205551, 1.5565556824207305, 1.236402766406536, 1.7383705347776413, 1.6557136088609696, 1.8136551400025687, 1.4387681434551876, 1.4650943408409753, 1.637435148159663, 1.5302286217610042, 1.507721522450447, 1.3629135976235072, 1.4603375275929769, 1.4442710707585016, 1.4189086904128392, 1.659713621934255, 1.3778763910134633, 1.3496762613455455, 1.4603292922178903, 1.4984209100405375, 1.3611669212579727, 1.27750383913517, 1.2353728994727136, 1.282779696583748, 1.3264851371447246, 1.365038162469864, 0.9342307219902675, 1.2622621963421503, 0.8443847149610519, 1.0725999568899474, 1.0309294973810514, 0.9119885623455047, 0.5588543817400933, 0.8087535724043846, 0.9424169480800628, 0.6458051760991415, 0.9873770957191785, 1.0596849689881007, 0.8939049710830053, 1.430290721853574, 1.1704793021082878, 1.22961017092069, 1.251339115202427, 1.0688578148682912, 1.0516523584723472, 1.2280819500486055, 1.0357211098074912, 0.7307557354370753, 1.0401258607705435, 0.8762474824984868], 'mean_rewards': [-9.081693649291992, -9.041586875915527, -4.745360851287842, -6.380758762359619, -3.17218017578125, 2.545531988143921, 8.114395141601562, 10.831685066223145, 21.746402740478516, 22.921175003051758, 24.976572036743164, 48.75652313232422, 39.03970718383789, 41.164737701416016, 47.974639892578125, 52.995269775390625, 50.69949722290039, 68.50274658203125, 78.54890441894531, 76.06710052490234, 75.67620849609375, 87.49324798583984, 83.84252166748047, 93.49687194824219, 81.88170623779297, 84.66443634033203, 84.74346923828125, 99.1864242553711, 91.8352279663086, 90.02354431152344, 101.491455078125, 90.97465515136719, 103.6832275390625, 98.22004699707031, 99.00179290771484, 84.30502319335938, 104.79920959472656, 104.21814727783203, 89.26543426513672, 85.75533294677734, 98.45700073242188, 90.91931915283203, 99.53273010253906, 106.10530090332031, 100.85165405273438, 100.99759674072266, 102.84981536865234, 104.5226058959961, 89.84537506103516, 95.34569549560547, 98.85668182373047, 96.05990600585938, 96.46540069580078, 80.3862075805664, 91.66996765136719, 84.02947998046875, 92.6719741821289, 96.40451049804688, 91.44229125976562, 89.4532470703125, 96.39414978027344, 93.04109191894531, 104.8409423828125, 88.50948333740234, 91.69691467285156, 105.41351318359375, 108.29878234863281, 103.02356719970703, 96.90432739257812, 90.74723052978516, 92.7734603881836, 97.87094116210938, 86.13349914550781, 105.70280456542969, 92.46861267089844, 84.80409240722656, 102.0212173461914, 106.88182067871094, 103.31790161132812, 111.2874984741211], 'training_memory_usage': 0.0, 'training_time': 238.48297214508057, 'flops': 214.54, 'parameters': 48.26}"
n_agents = 15,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 15, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.000609807632676321, 'inference_memory_usage': 0.0, 'loss': [2.707843182484309, 2.6493442257245383, 2.564573868115743, 2.6338974793752032, 2.7302035530408224, 2.5004635473092396, 2.4674077530701957, 2.488500960667928, 2.1747077981630962, 1.9969656715790431, 1.7959686726331712, 1.9292471061150234, 2.031070590019226, 1.8974219719568888, 1.8428753634293875, 1.4873896211385726, 1.5665798058112463, 1.4232351352771124, 1.6011200487613677, 1.715575948357582, 1.0896532475948333, 1.4090431720018386, 1.6041278272867203, 1.34416297574838, 1.4757284760475158, 1.5510749449332555, 1.8567714909712474, 1.5127659658590953, 1.6982175350189208, 1.4216094414393108, 1.7701977084080378, 1.9204219986995061, 2.0122280408938726, 1.8940473248561223, 2.237866332133611, 1.9963038484255473, 2.5761679569880167, 2.2759681661923725, 2.741412357489268, 2.013629988829295, 2.005898051460584, 2.1295338034629823, 2.6266516705354053, 2.0784571965535483, 2.2679203202327094, 1.9022800207138062, 2.2755527079105375, 2.290393082300822, 2.0933019906282424, 2.2153246233860653, 2.229992190003395, 2.294088360667229, 2.3019731799761454, 2.5010095953941347, 2.3904497335354487, 1.9124048411846162, 2.1426028261582055, 2.7454861144224805, 2.421751993894577, 2.188325460751851, 2.7495929181575773, 2.5420387625694274, 2.544967802365621, 2.181949129700661, 2.427654735247294, 2.148818184932073, 2.742935194571813, 2.707730146249135, 2.4925070921579997, 2.3623885263999305, 2.398488006989161, 1.8606714059909184, 2.4598408649365107, 2.2548158784707386, 2.900860470533371, 2.436629279454549, 2.6291441440582277, 2.7053176005681356, 2.3421629925568896, 2.031363378961881], 'mean_rewards': [-0.7249323725700378, 0.13767242431640625, 2.333226203918457, 2.3168628215789795, 3.658306121826172, 10.234692573547363, 10.72476863861084, 4.213563919067383, 15.952554702758789, 19.425195693969727, 31.391197204589844, 29.038209915161133, 26.269325256347656, 45.020179748535156, 41.41524124145508, 62.56930923461914, 65.99581146240234, 76.046630859375, 70.60880279541016, 72.88545989990234, 70.20926666259766, 86.43187713623047, 80.65747833251953, 86.54521179199219, 83.14146423339844, 98.07334899902344, 81.30845642089844, 96.51298522949219, 98.10189056396484, 102.09638977050781, 93.31732177734375, 90.53837585449219, 97.79258728027344, 97.6563949584961, 96.6129150390625, 93.65464782714844, 93.35319519042969, 96.16551971435547, 91.081787109375, 105.4323501586914, 111.289794921875, 99.30046081542969, 99.09384155273438, 88.69176483154297, 97.52247619628906, 110.17195892333984, 96.05364990234375, 93.25691223144531, 92.83952331542969, 96.45740509033203, 94.12531280517578, 84.74471282958984, 83.03509521484375, 94.83590698242188, 87.3116226196289, 89.00825500488281, 99.95574951171875, 72.6279296875, 77.24102020263672, 83.19055938720703, 79.45732879638672, 85.87052917480469, 52.96202850341797, 78.20028686523438, 81.89249420166016, 90.48987579345703, 78.83834075927734, 72.62030029296875, 72.45043182373047, 83.66844177246094, 68.64439392089844, 80.12548828125, 74.94129943847656, 79.27462768554688, 75.46620178222656, 63.31382751464844, 82.7472152709961, 63.26301956176758, 63.80170822143555, 72.73319244384766], 'training_memory_usage': 0.0, 'training_time': 377.3767113685608, 'flops': 337.16, 'parameters': 48.26}"
n_agents = 20,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 20, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0010822034960416094, 'inference_memory_usage': 0.0, 'loss': [2.535760696729024, 2.688772791624069, 2.6950074712435406, 2.616794790824254, 2.657781692345937, 2.5538675248622895, 2.3936407466729483, 2.197122805317243, 2.0158542205890018, 1.7563879062732062, 1.4409103204806646, 1.7043432494004567, 1.830929199854533, 2.0697626153628033, 1.9330401519934337, 2.0393621375163398, 2.2590990006923675, 2.0696495890617372, 2.2365054180224737, 2.0302829523881276, 2.073568360010783, 2.2935589134693144, 2.282868753870328, 1.951479548215866, 2.001300257444382, 2.009065051873525, 2.2609296371539434, 2.0982696026563645, 1.84305892487367, 1.8542668064435324, 2.0681809465090435, 2.2147933105627695, 1.8312489440043767, 1.9954162816206613, 2.389094106356303, 2.148871570825577, 2.227715238928795, 2.525417641798655, 2.5664649566014606, 2.7463990847269693, 2.3900748997926713, 2.2566971590121585, 2.684420657157898, 2.7013685584068297, 2.6864777306715646, 2.468405962983767, 2.4688838839530947, 2.249539046486219, 2.5873591820398967, 2.498658317327499, 2.297955890496572, 2.7010622560977935, 2.4110659301280974, 2.5033792545398077, 2.719723105430603, 1.7408348798751831, 2.385014839967092, 2.4148856262365976, 2.383072696129481, 2.2421473652124404, 2.3606177012125653, 2.5508872946103414, 2.400680873791377, 2.4900961418946586, 2.253889481226603, 2.337029136220614, 2.2326089441776276, 2.114762955904007, 2.2758677115043002, 2.3101816227038703, 2.0839120070139567, 2.1856783807277678, 2.194823931654294, 1.9916216015815735, 2.1821128875017166, 2.04692583878835, 2.0338328033685684, 2.041340073943138, 1.902250626683235, 2.0262851198514302], 'mean_rewards': [2.3604822158813477, -0.6705322265625, 0.3405749499797821, 3.0295231342315674, 2.3785603046417236, 8.350324630737305, 11.978309631347656, 13.014528274536133, 20.194599151611328, 32.59174728393555, 41.49978256225586, 40.09611129760742, 44.7771110534668, 40.7712287902832, 38.61082077026367, 32.08504104614258, 46.68735885620117, 60.722591400146484, 38.0612678527832, 49.224491119384766, 56.90992736816406, 66.26404571533203, 46.99760437011719, 55.45820999145508, 63.46953201293945, 66.25870513916016, 78.21377563476562, 76.68451690673828, 79.55032348632812, 89.1637191772461, 81.9625015258789, 71.13170623779297, 102.908203125, 94.24526977539062, 85.87183380126953, 87.90494537353516, 92.66581726074219, 82.44609069824219, 74.62211608886719, 89.76201629638672, 95.17744445800781, 91.22770690917969, 95.50685119628906, 88.25697326660156, 96.14031982421875, 97.68512725830078, 89.57953643798828, 104.7542724609375, 87.4771728515625, 86.45123291015625, 97.80625915527344, 86.58714294433594, 99.54322814941406, 103.31318664550781, 86.3415756225586, 87.21437072753906, 101.38663482666016, 92.31317901611328, 92.29420471191406, 105.06839752197266, 105.59013366699219, 100.71082305908203, 103.9179458618164, 78.49832916259766, 84.61173248291016, 99.08492279052734, 89.34525299072266, 83.6583023071289, 75.75590515136719, 96.47721099853516, 81.01146697998047, 87.93497467041016, 89.5242691040039, 95.5589828491211, 92.86366271972656, 75.20536041259766, 106.31343841552734, 87.21662902832031, 93.28422546386719, 84.0407943725586], 'training_memory_usage': 0.0, 'training_time': 319.7118308544159, 'flops': 470.04, 'parameters': 48.26}"
n_agents = 25,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 25, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.000917021353640149, 'inference_memory_usage': 0.0, 'loss': [2.962779782215754, 2.727463599046071, 2.664893521865209, 2.6447308441003163, 2.6993042131265006, 2.5313493867715198, 2.374607781569163, 2.2288785219192504, 2.2547164102395376, 2.226983035604159, 2.2366791288057963, 2.038934576511383, 2.1778286705414454, 2.6926820198694865, 2.44087948401769, 2.335733906428019, 2.3309085895617803, 2.1512931336959205, 2.400387907028198, 2.429312906662623, 2.353945052623749, 2.486911590894063, 2.4230395038922627, 3.057351899147034, 3.2673510551452636, 2.937558845678965, 3.006013051668803, 3.259342094262441, 2.7693069696426393, 2.775352225701014, 2.9053513129552204, 2.74029624859492, 2.459581265846888, 2.121714021762212, 2.3377652088801066, 2.69349903066953, 2.5857662816842395, 2.3881836970647177, 2.866595842440923, 2.4805172344048816, 2.5794293721516928, 2.767820644378662, 2.8632190922896066, 2.524182766675949, 2.6593909839789074, 2.5179499804973604, 2.773443422714869, 2.674357602993647, 2.729399186372757, 2.9250810901323954, 2.5685268064339954, 3.02203515569369, 3.083965955177943, 3.3306843181451162, 3.1624014059702557, 3.449499811728795, 3.169252860546112, 3.3990448733170826, 3.055833093325297, 3.547075506051381, 2.9760279099146527, 2.8823372542858126, 3.6034600575764975, 3.5451225141684213, 3.887028541167577, 3.212175269921621, 3.431230447689692, 3.318166391054789, 3.433260138829549, 3.2943895836671193, 3.308660010496775, 2.837765775124232, 2.9450514217217765, 2.982126420736313, 2.991706605752309, 2.85826119184494, 3.130457657575607, 3.2917158782482145, 2.60298370718956, 2.5952708462874097], 'mean_rewards': [-1.5118131637573242, 1.5076496601104736, 4.743084907531738, 7.1440229415893555, 5.171947956085205, 9.618653297424316, 14.324617385864258, 26.55187225341797, 13.499593734741211, 27.7906494140625, 28.4205379486084, 39.16483688354492, 43.392459869384766, 45.17360305786133, 39.448997497558594, 50.525455474853516, 63.76982116699219, 40.81117248535156, 60.42499542236328, 44.72602844238281, 44.71281433105469, 52.545196533203125, 46.81947708129883, 67.75788879394531, 29.023895263671875, 28.43723487854004, 45.302188873291016, 45.950321197509766, 38.59021759033203, 49.914730072021484, 23.7393741607666, 39.628456115722656, 59.33989715576172, 68.87240600585938, 85.4001235961914, 71.03462219238281, 75.35511779785156, 73.4390640258789, 72.88275909423828, 84.75868225097656, 83.08674621582031, 84.6606674194336, 64.5870132446289, 74.74069213867188, 66.26870727539062, 75.2542724609375, 85.68939208984375, 75.89117431640625, 74.7016830444336, 80.50923156738281, 94.93962860107422, 90.85636901855469, 88.3812484741211, 75.02456665039062, 73.07257080078125, 92.86673736572266, 89.7969741821289, 76.91950988769531, 77.15670776367188, 74.56732940673828, 68.34224700927734, 89.85164642333984, 78.5215072631836, 71.0044937133789, 82.77363586425781, 68.15150451660156, 87.78993225097656, 86.42083740234375, 88.53441619873047, 73.11780548095703, 78.12982177734375, 93.1620101928711, 87.55809783935547, 82.44373321533203, 78.85066223144531, 97.30814361572266, 89.21839904785156, 72.56145477294922, 86.00257873535156, 95.67181396484375], 'training_memory_usage': 0.0, 'training_time': 387.2761974334717, 'flops': 613.14, 'parameters': 48.26}"
n_agents = 30,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.SAB_TRANSFORMER: 'sab_transformer'>, 'n_agents': 30, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 80, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 1, 'model_dim': 64, 'max_agents': 5, 'inducing_points': 1, 'norm': False, 'count': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0009871595468952429, 'inference_memory_usage': 0.0, 'loss': [3.381612849235535, 3.0406508068243663, 2.896724220116933, 3.2600521087646483, 3.074615091085434, 3.0398518979549407, 3.239791742960612, 2.952640265226364, 2.9576831499735516, 3.022517716884613, 3.006003216902415, 3.121206212043762, 3.280777241786321, 2.945659170548121, 2.9179640909036, 2.8962251325448354, 3.0024382293224336, 2.702777095635732, 3.305099807182948, 2.432545484105746, 2.6296932955582935, 2.722830277681351, 3.0565938929716747, 2.8524455348650615, 3.1182141522566478, 2.694813350836436, 2.938069675366084, 3.100914313395818, 2.714063372214635, 2.755753791332245, 2.7900976796944934, 3.1792569875717165, 3.098888196547826, 2.7662404636542, 2.9879686017831166, 2.730053323507309, 2.959900939464569, 2.6773582875728605, 2.8611380736033123, 2.970271664857864, 2.7016148348649343, 2.903505245844523, 3.0677421132723492, 3.404517177740733, 2.7308769007523854, 3.1767503837744395, 2.1445949763059615, 3.1201978445053102, 3.017971114317576, 2.6317382991313933, 3.3146452923615772, 2.6776885320742925, 2.863964362939199, 3.2063705027103424, 3.5838305433591207, 3.050779567162196, 3.7252941330273948, 3.111282596985499, 3.605233003695806, 3.822581621011098, 3.022806229194005, 2.83313649892807, 3.8027530272801715, 3.2417991677920024, 2.9879165550072986, 3.277428070704142, 3.4389311015605926, 3.152746711174647, 3.2903344968954724, 3.3109456479549406, 3.418024279673894, 3.0579616904258726, 2.9500968356927237, 3.4886022488276165, 3.561163306236267, 2.831277408202489, 2.6551575481891634, 2.352082648873329, 2.558381759126981, 2.76061549782753], 'mean_rewards': [-4.938622951507568, -0.8893477320671082, 3.271960496902466, 1.302517056465149, -2.4296412467956543, 5.311705589294434, 0.09656422585248947, 3.3854899406433105, 6.374552249908447, 13.329917907714844, 1.1786118745803833, 4.305509567260742, 7.892725944519043, 5.677806854248047, 14.985647201538086, 7.838778495788574, 10.803966522216797, 13.72214412689209, 3.7844371795654297, 1.3645007610321045, 26.14063835144043, 20.989526748657227, 10.082910537719727, 22.231054306030273, 14.505122184753418, 14.67151165008545, 9.815485000610352, 10.546395301818848, 23.638526916503906, 27.437284469604492, 13.624897956848145, 19.18088150024414, 23.85173225402832, 23.29351806640625, 28.754253387451172, 27.083051681518555, 12.913424491882324, 20.479232788085938, 17.688648223876953, 16.316150665283203, 23.449996948242188, 23.850139617919922, 11.351613998413086, 18.242521286010742, 15.872432708740234, 24.32732582092285, 22.851593017578125, 27.455978393554688, 11.544270515441895, 20.73614501953125, 28.15592384338379, 30.76844024658203, 25.409940719604492, 27.939828872680664, 27.836994171142578, 37.26085662841797, 41.6915397644043, 38.23701858520508, 25.754520416259766, 39.782447814941406, 31.069229125976562, 29.774812698364258, 33.440086364746094, 22.5151424407959, 34.17609405517578, 31.464548110961914, 23.697999954223633, 31.9724178314209, 35.71154022216797, 38.01361846923828, 33.34304428100586, 29.900493621826172, 29.946170806884766, 33.364646911621094, 19.469951629638672, 22.982128143310547, 27.553661346435547, 30.96938705444336, 52.33224105834961, 46.6343994140625], 'training_memory_usage': 0.0, 'training_time': 418.4970018863678, 'flops': 766.48, 'parameters': 48.26}"
